Construct_Name,Source,Definition_Text,Paper_Count,Reference_URLs
Supervisor,OpenAlex,"A supervisor, or lead, (also known as foreman, boss, overseer, facilitator, monitor, area coordinator, line-manager or sometimes gaffer) is the job title of a lower-level management position and role that is primarily based on authority over workers or a workplace. A supervisor can also be one of the most senior on the employees at a place of work, such as a professor who oversees a Ph.D. dissertation.",650,"https://doi.org/10.1111/j.1744-6570.2005.00672.x,https://doi.org/10.1037/0021-9010.87.3.565,https://doi.org/10.5465/1556375"
Personnel selection,OpenAlex,"Personnel selection is the methodical process used to hire (or, less commonly, promote) individuals. Although the term can apply to all aspects of the process (recruitment, selection, hiring, onboarding, acculturation, etc.) the most common meaning focuses on the selection of workers.",640,"https://doi.org/10.1111/j.1744-6570.1991.tb00688.x,https://doi.org/10.1037/0021-9010.88.3.500,https://doi.org/10.1111/j.1744-6570.1991.tb00696.x"
Job analysis,OpenAlex,Job analysis (also known as work analysis) is a family of procedures to identify the content of a job in terms of the activities it involves in addition to the attributes or requirements necessary to perform those activities. Job analysis provides information to organizations that helps them determine which employees are best fit for specific jobs.,639,"https://doi.org/10.1037/h0076546,https://doi.org/10.1037/0021-9010.91.6.1321,https://doi.org/10.1037/h0031152"
Organizational citizenship behavior,OpenAlex,"In industrial and organizational psychology, organizational citizenship behavior (OCB)  is a person's voluntary commitment within an organization or company that is not part of his or her contractual tasks. Organizational citizenship behavior has been studied since the late 1970s.",594,"https://doi.org/10.1006/jvbe.2001.1842,https://doi.org/10.1177/014920639101700305,https://doi.org/10.1037/0021-9010.86.3.425"
Construct validity,OpenAlex,Construct validity concerns how well a set of indicators represents or reflects a concept that is not directly measurable. Construct validation is the accumulation of evidence to support the interpretation of what a measure reflects.,498,"https://doi.org/10.1037/0021-9010.86.3.386,https://doi.org/10.1177/0149206307308913,https://doi.org/10.1006/jvbe.1996.0043"
Population,OpenAlex,"In biology, a population of organisms is a group of individuals of the same species, defined by a discontinuity or disjunction from other groups of individuals in certain characteristics, such as living area, genetic attributes, demographic structure. Among biologists, the term definition varies, in some cases significantly, and sometimes those variations can be confusing.",475,"https://doi.org/10.1016/j.jvb.2004.08.009,https://doi.org/10.1016/j.jvb.2020.103445,https://doi.org/10.1037/0021-9010.90.1.175"
Economic Justice,OpenAlex,"Economic justice is a component of social justice and welfare economics. It is a set of moral and ethical principles for building economic institutions, where the ultimate goal is to create an opportunity for each person to establish a sufficient material foundation upon which to have a dignified, productive, and creative life.",460,"https://doi.org/10.1037/0021-9010.86.3.425,https://doi.org/10.1037/0021-9010.86.3.386,https://doi.org/10.1177/014920639001600208"
Extraversion and introversion,OpenAlex,"Extraversion and introversion are a central trait dimension in human personality theory. The terms were introduced into psychology by Carl Jung, though both the popular understanding and current psychological usage are not the same as Jung's original concept.",460,"https://doi.org/10.1111/j.1744-6570.1991.tb00688.x,https://doi.org/10.1111/j.1744-6570.1995.tb01781.x,https://doi.org/10.1002/job.4030140202"
Situational ethics,OpenAlex,"Situational ethics or situation ethics takes into account only the particular context of an act when evaluating it ethically, rather than judging it only according to absolute moral standards. With the intent to have a fair basis for judgments or action, one looks to personal ideals of what is appropriate to guide them, rather than an unchanging universal code of conduct, such as Biblical law under divine command theory or the Kantian categorical imperative.",454,"https://doi.org/10.1037/0021-9010.88.3.500,https://doi.org/10.1037/0021-9010.85.5.678,https://doi.org/10.5465/amj.2009.43670890"
Organizational effectiveness,OpenAlex,"Organizational effectiveness is a concept used in management, economics, and organizational studies to assess how well an organization achieves its intended outcomes.  Definitions and ways of measuring organizational effectiveness vary by context, stakeholder priorities, and disciplinary perspective.",394,"https://doi.org/10.2307/256406,https://doi.org/10.2307/256404,https://doi.org/10.2307/256712"
Burnout,OpenAlex,"Burnout or burn-out or burn out may refer to:   == Fatigue-related uses == Occupational burnout, characterized by exhaustion, cynicism, and reduced professional efficacy within the workplace Autistic burnout, a state of intense mental, emotional, or physical exhaustion experienced by some autistic people Physician burnout, a psychological syndrome arising from prolonged exposure to occupational stressors Caregiver burnout, occupational burnout in the context of unpaid caregiving Overtraining syndrome, also called burnout among athletes   == Entertainment == Burnout (film), a 2017 Moroccan film Burn Out (film), a 2017 French film Burnout (ride), a Funfields amusement ride in Australia Burnout (series), a racing game series created by UK company Criterion Games, with a notable emphasis on dangerous driving and crashes Burnout (video game), the first game of the same series Burnout: Championship Drag Racing, a 1998 video game ""Burn Out"" (CSI), an episode from the seventh season of the television series CSI: Crime Scene Investigation Burn Out (G.I. Joe), a fictional character in the G.I. Joe universe, member of the Dreadnoks Burnout, the third episode of the Influencer Arc, a spin-off miniseries based on Animator vs.",368,"https://doi.org/10.1002/job.4030020205,https://doi.org/10.1037/0021-9010.86.3.499,https://doi.org/10.1002/job.248"
Organizational justice,OpenAlex,"Greenberg (1987) introduced the concept of organizational justice with regard to how an employee judges the behavior of the organization and the employee's resulting attitude and behaviour. For example, if a firm makes redundant half of the workers, an employee may feel a sense of injustice with a resulting change in attitude and a drop in productivity.",341,"https://doi.org/10.1037/0021-9010.86.3.425,https://doi.org/10.1037/0021-9010.86.3.386,https://doi.org/10.1177/014920639001600208"
Leadership style,OpenAlex,"A leadership style is a leader's method of providing direction, implementing plans, and motivating people. Various authors have proposed identifying many different leadership styles as exhibited by leaders in the political, business or other fields.",334,"https://doi.org/10.1177/0149206307308913,https://doi.org/10.1037/0021-9010.87.4.611,https://doi.org/10.1348/096317999166789"
Feeling,OpenAlex,"According to the APA Dictionary of Psychology, a feeling is ""a self-contained phenomenal experience""; feelings are ""subjective, evaluative, and independent of the sensations, thoughts, or images evoking them"". The term feeling is closely related to, but not the same as, emotion.",333,"https://doi.org/10.1037/0021-9010.87.4.698,https://doi.org/10.1006/jvbe.2001.1815,https://doi.org/10.1002/1099-1379(200008)21:5<525::aid-job40>3.0.co;2-t"
Conscientiousness,OpenAlex,"Conscientiousness is the personality trait of being responsible, careful, or diligent. Conscientiousness implies a desire to do a task well, and to take obligations to others seriously.",322,"https://doi.org/10.1111/j.1744-6570.1991.tb00688.x,https://doi.org/10.1111/j.1744-6570.1995.tb01781.x,https://doi.org/10.1002/job.4030140202"
Productivity,OpenAlex,"Productivity is the efficiency of production of goods or services expressed by some measure. Measurements of productivity are often expressed as a ratio of an aggregate output to a single input or an aggregate input used in a production process, i.e.",313,"https://doi.org/10.2307/256741,https://doi.org/10.1037/0021-9010.87.2.268,https://doi.org/10.5465/256741"
Occupational stress,OpenAlex,Occupational stress is chronic psychological stress related to one's job. Occupational stress can be managed by understanding what the stressful conditions at work are and taking steps to remediate those conditions.,310,"https://doi.org/10.1037/0021-9010.86.3.499,https://doi.org/10.1037/0021-9010.81.2.123,https://doi.org/10.1037/a0019364"
Confirmatory factor analysis,OpenAlex,"In statistics, confirmatory factor analysis (CFA) is a special form of factor analysis, most commonly used in social science research. It is used to test whether measures of a construct are consistent with a researcher's understanding of the nature of that construct (or factor).",296,"https://doi.org/10.1037/0021-9010.86.3.386,https://doi.org/10.1111/j.1744-6570.2007.00083.x,https://doi.org/10.1177/0149206307308913"
Interpersonal relationship,OpenAlex,"In social psychology, an interpersonal relation (or interpersonal relationship) describes a social association, connection, or affiliation between two or more people. It overlaps significantly with the concept of social relations, which are the fundamental unit of analysis within the social sciences.",295,"https://doi.org/10.2307/256727,https://doi.org/10.1002/job.4030090402,https://doi.org/10.1037/a0014891"
Transformational leadership,OpenAlex,"Transformational leadership is a leadership style in which a leader's behaviors influence their followers, inspiring them to perform beyond their perceived capabilities. This style of leadership encourages individuals to achieve unexpected or remarkable results by prioritizing their collective vision over their immediate self-interests.",292,"https://doi.org/10.1037/0021-9010.89.5.755,https://doi.org/10.1177/0149206307308913,https://doi.org/10.1002/job.4030140202"
Organisation climate,OpenAlex,Organisational climate (sometimes known as corporate climate) is a concept that has academic meaning in the fields of organisational behaviour and I/O psychology as well as practical meaning in the business world There is continued scholarly debate about the exact definition of organisational climate for the purposes of scientific study. The definition developed by Lawrence R. James (1943-2014)  and his colleagues makes a distinction between psychological and organisational climate.,291,"https://doi.org/10.1037/0021-9010.65.1.96,https://doi.org/10.1037/0021-9010.90.6.1217,https://doi.org/10.1002/(sici)1099-1379(199805)19:3<235::aid-job837>3.0.co;2-c"
Organizational structure,OpenAlex,"An organizational structure defines how activities such as task allocation, coordination, and supervision  are directed toward the achievement of organizational aims. Organizational structure affects organizational action and provides the foundation on which standard operating procedures and routines rest.",270,"https://doi.org/10.1177/0149206310365901,https://doi.org/10.2307/255754,https://doi.org/10.2307/256549"
Procedural justice,OpenAlex,Procedural justice is the idea of fairness in the processes that resolve disputes and allocate resources.  One aspect of procedural justice is related to discussions of the administration of justice and legal proceedings.,257,"https://doi.org/10.1037/0021-9010.86.3.425,https://doi.org/10.1037/0021-9010.86.3.386,https://doi.org/10.1177/014920639001600208"
Work–family conflict,OpenAlex,"Work–family conflict is a concept in psychology, industrial and organizational psychology, and occupational health psychology that studies how competing demands between work and family responsibilities create tension and measurably impact mental health, productivity, and family dynamics. The concept emerged as industrialization shifted paid work out of the household, reshaping expectations at the work-life interface.",250,"https://doi.org/10.1037/0021-9010.81.4.400,https://doi.org/10.1037/0021-9010.77.1.65,https://doi.org/10.1006/jvbe.1999.1713"
Work engagement,OpenAlex,"Work engagement is the ""harnessing of organization member's selves to their work roles: in engagement, people employ and express themselves physically, cognitively, emotionally and mentally during role performances"". Three aspects of work motivation are cognitive, emotional and physical engagement.",244,"https://doi.org/10.1002/job.248,https://doi.org/10.2307/256287,https://doi.org/10.5465/amj.2010.51468988"
Social identity theory,OpenAlex,"Social identity is the portion of an individual's self-concept derived from perceived membership in a relevant social group. As originally formulated by social psychologists Henri Tajfel and John Turner in the 1970s and the 1980s, social identity theory introduced the concept of a social identity as a way in which to explain intergroup behaviour.",214,"https://doi.org/10.5465/amj.2006.20786060,https://doi.org/10.5465/amj.2008.0276,https://doi.org/10.1348/096317900166949"
Workforce,OpenAlex,"In macroeconomics, the workforce or labour force is the sum of people either working (i.e., the employed) or looking for work (i.e., the unemployed):                                    Labour force                  =                    Employed                  +                    Unemployed                          {\displaystyle {\text{Labour force}}={\text{Employed}}+{\text{Unemployed}}}     Those neither working in the marketplace nor looking for work are out of the labour force. The sum of the labour force and out of the labour force results in the noninstitutional civilian population, that is, the number of people who (1) work (i.e., the employed), (2) can work but do not, although they are looking for a job (i.e., the unemployed), or (3) can work but do not, and are not looking for a job (i.e., out of the labour force).",208,"https://doi.org/10.1177/0149206309352246,https://doi.org/10.1177/014920630202800605,https://doi.org/10.1016/s0149-2063(00)00093-3"
Emotional exhaustion,OpenAlex,"Emotional exhaustion is a symptom of burnout, a chronic state of physical and emotional depletion that results from excessive work or personal demands, or continuous stress. It describes a feeling of being emotionally overextended and exhausted by one's work.",207,"https://doi.org/10.1002/job.4030020205,https://doi.org/10.1037/0021-9010.86.3.499,https://doi.org/10.1037/0021-9010.81.2.123"
Incremental validity,OpenAlex,"Incremental validity is a type of statistical validity that assesses whether a new psychometric assessment has more predictive ability than existing methods of assessment. It seeks to determine whether the new assessment adds information that cannot be obtained with simpler, already existing methods.",203,"https://doi.org/10.1111/j.1744-6570.2003.tb00152.x,https://doi.org/10.1037/0021-9010.85.6.869,https://doi.org/10.1037/0021-9010.84.3.416"
Perceived organizational support,OpenAlex,"Perceived organizational support (POS) is the degree to which employees believe that their organization values their contributions and cares about their well-being and fulfills socioemotional needs. POS is generally thought to be the organization's contribution to a positive reciprocity dynamic with employees, as employees tend to perform better to reciprocate received rewards and favorable treatment.",202,"https://doi.org/10.1037/0021-9010.87.4.698,https://doi.org/10.1037/0021-9010.71.3.500,https://doi.org/10.2307/257021"
Proactivity,OpenAlex,"Proactivity or proactive behavior refers to self-initiated behavior that endeavours to solve a problem before it has occurred. Proactive behavior involves acting in advance of a future situation, rather than reacting.",202,"https://doi.org/10.1002/job.4030140202,https://doi.org/10.5465/amj.2007.24634438,https://doi.org/10.1177/014920630002600304"
Psychosocial,OpenAlex,The psychosocial approach looks at individuals in the context of the combined influence that psychological factors and the surrounding social environment have on their physical and mental wellness and their ability to function. This approach is used in a broad range of helping professions in health and social care settings as well as by medical and social science researchers.,202,"https://doi.org/10.1177/014920639702300303,https://doi.org/10.1016/j.jvb.2012.01.011,https://doi.org/10.1037/0021-9010.89.1.127"
Turnover intention,OpenAlex,"In human resources, turnover refers to the employees who leave an organization. The turnover rate is the percentage of the total workforce that leave over a given period.",200,"https://doi.org/10.1111/j.1744-6570.1993.tb00874.x,https://doi.org/10.1177/014920630002600305,https://doi.org/10.2307/3069391"
Social support,OpenAlex,"Social support is the perception and actuality that one is cared for, has assistance available from other people, and, most popularly, that one is part of a supportive social network. These supportive resources can be emotional (e.g., nurturance), informational (e.g., advice), or companionship (e.g., sense of belonging); tangible (e.g., financial assistance) or intangible (e.g., personal advice).",197,"https://doi.org/10.1006/jvbe.1998.1661,https://doi.org/10.1037/0021-9010.91.5.1134,https://doi.org/10.1111/j.1744-6570.2011.01211.x"
Personality Assessment Inventory,OpenAlex,"Personality Assessment Inventory (PAI), developed by Leslie Morey (1991, 2007), is a self-report 344-item personality test that assesses a respondent's  personality and psychopathology. Each item is a statement about the respondent that the respondent rates with a 4-point scale (1-""Not true at all, False"", 2-""Slightly true"", 3-""Mainly true"", and 4-""Very true"").",194,"https://doi.org/10.1111/j.1744-6570.1991.tb00696.x,https://doi.org/10.1111/j.1744-6570.2007.00089.x,https://doi.org/10.1111/j.1744-6570.1965.tb00273.x"
Core self-evaluations,OpenAlex,"Core self-evaluations (CSE) represent a stable personality trait which encompasses an individual's subconscious, fundamental evaluations about themselves, their own abilities and their own control.  People who have high core self-evaluations will think positively of themselves and be confident in their own abilities.",184,"https://doi.org/10.5465/amj.2010.51468988,https://doi.org/10.1037/0021-9010.86.1.80,https://doi.org/10.1037/0021-9010.87.3.530"
Psychological safety,OpenAlex,"Psychological safety is the belief that one will not be punished or humiliated for speaking up with ideas, questions, concerns, or mistakes. In teams, it refers to team members believing that they can take risks without being shamed by other team members.",179,"https://doi.org/10.1348/096317904322915892,https://doi.org/10.1037/0021-9010.85.2.273,https://doi.org/10.1002/job.413"
Teamwork,OpenAlex,"Teamwork is the collaborative effort of a group to achieve a common goal or to complete a task in an effective and efficient way. Teamwork is seen within the framework of a team, which is a group of interdependent individuals who work together towards a common goal.",176,"https://doi.org/10.1037/0021-9010.83.3.377,https://doi.org/10.5465/amj.2005.16928421,https://doi.org/10.2307/1556384"
Discriminant validity,OpenAlex,"In psychology, discriminant validity tests whether concepts or measurements that are not supposed to be related are actually unrelated. Campbell and Fiske (1959) introduced the concept of discriminant validity within their discussion on evaluating test validity.",168,"https://doi.org/10.1037/0021-9010.91.6.1321,https://doi.org/10.1111/j.1744-6570.2010.01203.x,https://doi.org/10.1037/0021-9010.87.5.875"
Agreeableness,OpenAlex,"Agreeableness is the personality trait of being kind, sympathetic, cooperative, warm, honest, straightforward, and considerate. In personality psychology, agreeableness is one of the five major dimensions of personality structure, reflecting individual differences in cooperation.",166,"https://doi.org/10.1111/j.1744-6570.1991.tb00688.x,https://doi.org/10.1002/job.4030140202,https://doi.org/10.1037/0021-9010.87.4.765"
Psychological contract,OpenAlex,"A psychological contract, a concept developed in contemporary research by organizational scholar Denise Rousseau, represents the mutual beliefs, perceptions, and informal obligations between an employer and an employee. It sets the dynamics for the relationship and defines the detailed practicality of the work to be done.",166,"https://doi.org/10.5465/256287,https://doi.org/10.1002/job.4030150306,https://doi.org/10.1002/job.4030110506"
Organizational learning,OpenAlex,"Organizational learning is the process of creating, retaining, and transferring knowledge within an organization. An organization improves over time as it gains experience.",165,"https://doi.org/10.5465/amj.2006.21794671,https://doi.org/10.5465/amj.2006.21794663,https://doi.org/10.2307/1556404"
Organizational identification,OpenAlex,Organizational identification (OI) is a term used in management studies and organizational psychology. The term refers to the propensity of a member of an organization to identify with that organization.,164,"https://doi.org/10.1002/job.4030130202,https://doi.org/10.1037/0021-9010.71.3.492,https://doi.org/10.1177/0149206308316059"
Socioeconomic status,OpenAlex,Socioeconomic status (SES) is a measurement used by economists and sociologists. The measurement combines a person's or their family's economic or wealth level and social position (generally determined by education level) in relation to others.,163,"https://doi.org/10.1006/jvbe.2001.1867,https://doi.org/10.2307/256445,https://doi.org/10.1016/j.jvb.2010.06.006"
Organizational performance,OpenAlex,"Business performance management (BPM) (also known as corporate performance management (CPM) enterprise performance management (EPM),) is a management approach which encompasses a set of processes and analytical tools to ensure that a business organization's activities and output are aligned with its goals. BPM is associated with business process management, a larger framework managing organizational processes.",160,"https://doi.org/10.2307/256712,https://doi.org/10.2307/256718,https://doi.org/10.2307/257057"
Cognitive Information Processing,OpenAlex,The Cognitive Information Processing (CIP) Approach to Career Development and Services is a theory of career problem solving and decision making that was developed through the joint efforts of a group of researchers at the Florida State University Career Center's Center for the Study of Technology in Counseling and Career Development. CIP theory asserts that the major components involved in determining career decision-making and problem-solving effectiveness are the content and process of career decisions.,157,"https://doi.org/10.1006/jvbe.1994.1027,https://doi.org/10.1016/0001-8791(83)90006-4,https://doi.org/10.1016/0001-8791(87)90010-8"
Criterion validity,OpenAlex,"In psychometrics, criterion validity, or criterion-related validity, is the extent to which an operationalization of a construct, such as a test, relates to, or predicts, a theoretically related behaviour or outcome — the criterion. Criterion validity is often divided into concurrent and predictive validity based on the timing of measurement for the ""predictor"" and outcome.",156,"https://doi.org/10.1111/j.1744-6570.1991.tb00696.x,https://doi.org/10.1348/096317909x481382,https://doi.org/10.1037/0021-9010.88.4.587"
Executive compensation,OpenAlex,"Executive compensation is composed of both the financial compensation (executive pay) and other non-financial benefits received by an executive from their employing firm in return for their service. It is typically a mixture of fixed salary, variable performance-based bonuses (cash, shares, or call options on the company stock) and benefits and other perquisites all ideally configured to take into account government regulations, tax law, the desires of the organization and the executive.",156,"https://doi.org/10.5465/amj.2009.36461950,https://doi.org/10.1177/014920630002600207,https://doi.org/10.2307/257100"
Personnel psychology,OpenAlex,"Personnel psychology is a subfield of industrial and organizational (I-O) psychology . Personnel psychology is the area of I-O psychology that primarily deals with the recruitment, selection and evaluation of personnel, and with other job aspects such as morale, job satisfaction, and relationships between managers and workers in the workplace.",147,"https://doi.org/10.1016/j.jvb.2011.05.009,https://doi.org/10.1037/a0021484,https://doi.org/10.1037/0021-9010.67.3.341"
Social perception,OpenAlex,"Social perception (or interpersonal perception) is the study of how people form impressions of and make inferences about other people as sovereign personalities. Social perception refers to identifying and utilizing social cues to make judgments about social roles, rules, relationships, context, or the characteristics (e.g., trustworthiness) of others.",142,"https://doi.org/10.2307/256313,https://doi.org/10.1177/014920638801400210,https://doi.org/10.1037/a0036751"
Shared leadership,OpenAlex,"Shared leadership is a leadership style that broadly distributes leadership responsibility, such that people within a team and organization lead each other. It has frequently been compared to horizontal leadership, distributed leadership, and collective leadership and is most contrasted with more traditional ""vertical"" or ""hierarchical"" leadership that resides predominantly with an individual instead of a group.",140,"https://doi.org/10.1037/0021-9010.89.5.755,https://doi.org/10.1037/0021-9010.87.4.611,https://doi.org/10.1177/0149206310380462"
Shareholder,OpenAlex,"A shareholder (in the United States often referred to as stockholder) of corporate stock refers to an individual or legal entity (such as another corporation, a body politic, a trust or partnership) that is registered by the corporation as the legal owner of shares of the share capital of a public or private corporation. Shareholders may be referred to as members of a corporation.",140,"https://doi.org/10.5465/amj.2011.0744,https://doi.org/10.5465/amj.2011.0211,https://doi.org/10.1177/0149206308324322"
Neuroticism,OpenAlex,Neuroticism or negativity is a personality trait associated with negative emotions. It is one of the Big Five traits.,136,"https://doi.org/10.1037/0021-9010.86.1.80,https://doi.org/10.1002/job.4030140202,https://doi.org/10.1037/0021-9010.87.4.765"
Collectivism,OpenAlex,"In sociology, a social organization is a pattern of relationships between and among individuals and groups. Characteristics of social organization can include qualities such as sexual composition, spatiotemporal cohesion, leadership, structure, division of labor, communication systems, and so on.",131,"https://doi.org/10.1002/job.4030160204,https://doi.org/10.2307/256731,https://doi.org/10.1037/a0018938"
Job stress,OpenAlex,Occupational stress is chronic psychological stress related to one's job. Occupational stress can be managed by understanding what the stressful conditions at work are and taking steps to remediate those conditions.,131,"https://doi.org/10.1037/0021-9010.85.1.65,https://doi.org/10.1037/0021-9010.71.4.618,https://doi.org/10.1037/0021-9010.71.3.432"
Validation test,OpenAlex,"In engineering and its various subdisciplines, acceptance testing is a test conducted to determine if the requirements of a specification or contract are met. It may involve chemical tests, physical tests, or performance tests.",130,"https://doi.org/10.1037/0021-9010.80.5.607,https://doi.org/10.1037/h0033444,https://doi.org/10.2307/255958"
Job characteristic theory,OpenAlex,"Job characteristics theory is a theory of work design. It provides ""a set of implementing principles for enriching jobs in organizational settings"".",128,"https://doi.org/10.1111/j.1744-6570.1987.tb00605.x,https://doi.org/10.1037/0021-9010.67.3.341,https://doi.org/10.1016/0001-8791(86)90013-8"
Employee engagement,OpenAlex,"Employee engagement is a fundamental concept in the effort to understand and describe, both qualitatively and quantitatively, the nature of the relationship between an organization and its employees. An ""engaged employee"" is defined as one who is fully absorbed by and enthusiastic about their work and so takes positive action to further the organization's reputation and interests.",126,"https://doi.org/10.1002/job.248,https://doi.org/10.1037/0021-9010.87.2.268,https://doi.org/10.2307/256657"
Employee research,OpenAlex,"In organizational development (OD), employee research involves the use of surveys, focus groups and other data-gathering methods to find out the attitudes, opinions and sentiments of members of an organization.   == See also == Employee survey Interviewing Focus group Customer satisfaction   == References == Peter Goudge.",125,"https://doi.org/10.1037/0021-9010.87.2.268,https://doi.org/10.2307/256657,https://doi.org/10.1037/0021-9010.75.1.51"
Nomological network,OpenAlex,"A nomological network (or nomological net) is a representation of the concepts (constructs) of interest in a study, their observable manifestations, and the interrelationships between these. The term ""nomological"" derives from the Greek, meaning ""lawful"", or in philosophy of science terms, ""law-like"".",117,"https://doi.org/10.1111/j.1744-6570.2010.01203.x,https://doi.org/10.1016/j.jvb.2004.02.001,https://doi.org/10.1037/0021-9010.92.1.128"
Negative affectivity,OpenAlex,"In psychology, negative affectivity (NA), or negative affect, is a personality variable that involves the experience of negative emotions and poor self-concept. Negative affectivity subsumes a variety of negative emotions, including anger, contempt, disgust, guilt, fear, and nervousness.",116,"https://doi.org/10.1006/jvbe.2001.1815,https://doi.org/10.1037/0021-9010.83.3.486,https://doi.org/10.1002/job.252"
Employee morale,OpenAlex,Employee morale or workspace morale is the morale of employees in workspace environment. It is proven to have a direct effect on productivity.,115,"https://doi.org/10.2307/255908,https://doi.org/10.2307/256928,https://doi.org/10.2307/3069448"
Principal–agent problem,OpenAlex,"The principal–agent problem (often abbreviated agency problem) refers to the conflict in interests and priorities that arises when one person or entity (the ""agent"") takes actions on behalf of another person or entity (the ""principal"").  The problem worsens when there is a greater discrepancy of interests and information between the principal and agent, as well as when the principal lacks the means to punish the agent.",115,"https://doi.org/10.5465/amj.2006.20785498,https://doi.org/10.5465/amj.2011.0211,https://doi.org/10.5465/amj.2009.36461950"
Resource-based view,OpenAlex,"The resource-based view (RBV), often referred to as the ""resource-based view of the firm"", is a managerial framework used to determine the strategic resources a firm can exploit to achieve sustainable competitive advantage. Jay Barney's 1991 article ""Firm Resources and Sustained Competitive Advantage"" is widely cited as a pivotal work in the emergence of the resource-based view, although some scholars (see below) argue that there was evidence for a fragmentary resource-based theory from the 1930s.",114,"https://doi.org/10.1177/014920639101700108,https://doi.org/10.2307/257052,https://doi.org/10.5465/257052"
Distributive justice,OpenAlex,"Distributive justice concerns the socially just allocation of resources, goods, opportunity in a society. It is concerned with how to allocate resources fairly among members of a society, taking into account factors such as wealth, income, and social status.",113,"https://doi.org/10.1037/0021-9010.86.3.425,https://doi.org/10.1037/0021-9010.86.3.386,https://doi.org/10.1177/014920639001600208"
Job enrichment,OpenAlex,"Job enrichment is a method of motivating employees where a job is designed to have interesting and challenging tasks which can require more skill and can increase pay.   == Origin == Frederick Herzberg, an American psychologist, originally developed the concept of 'job enrichment' in 1968, in an article that he published on pioneering studies at AT&T. The concept stemmed from Herzberg's motivator-hygiene theory, which is based on the premise that job attitude is a construct of two independent factors, namely job satisfaction and job dissatisfaction.",109,"https://doi.org/10.2307/3069345,https://doi.org/10.2307/20159587,https://doi.org/10.1037/0021-9010.83.6.835"
